"time","Volt"
2023-10-10 23:39:14,0.5625
2023-10-10 23:44:22,0.5625
2023-10-10 23:49:35,0.5625
2023-10-10 23:54:48,0.5625
2023-10-10 23:59:54,0.5625
2023-10-11 00:05:02,0.375
2023-10-11 00:10:17,0.5625
2023-10-11 00:15:24,0.5625
2023-10-11 00:20:31,0.5625
2023-10-11 00:25:38,0.5625
2023-10-11 00:30:50,0.5625
2023-10-11 00:35:57,0.5625
2023-10-11 00:41:09,0.5625
2023-10-11 00:46:21,0.5625
2023-10-11 00:51:29,0.5625
2023-10-11 00:56:42,0.5625
2023-10-11 01:01:51,0.5625
2023-10-11 01:06:59,0.5625
2023-10-11 01:12:11,0.5625
2023-10-11 01:17:20,0.5625
2023-10-11 01:22:28,0.5625
2023-10-11 01:27:40,0.5625
2023-10-11 01:32:52,0.5625
2023-10-11 01:38:00,0.5625
2023-10-11 01:43:12,0.5625
2023-10-11 01:48:19,0.5625
2023-10-11 01:53:33,0.5625
2023-10-11 01:58:44,0.5625
2023-10-11 02:03:56,0.5625
2023-10-11 02:09:07,0.5625
2023-10-11 02:14:19,0.5625
2023-10-11 02:19:26,0.5625
2023-10-11 02:24:37,0.5625
2023-10-11 02:29:47,0.5625
2023-10-11 02:34:59,0.5625
2023-10-11 02:40:10,0.5625
2023-10-11 02:45:22,0.5625
2023-10-11 02:50:31,0.5625
2023-10-11 02:55:37,0.5625
2023-10-11 03:00:48,0.5625
2023-10-11 03:05:59,0.5625
2023-10-11 03:11:12,0.5625
2023-10-11 03:16:11,0.5625
2023-10-11 03:21:23,0.375
2023-10-11 03:26:35,0.5625
2023-10-11 03:31:42,0.5625
2023-10-11 03:36:53,0.5625
2023-10-11 03:42:05,0.5625
2023-10-11 03:47:17,0.5625
2023-10-11 03:52:30,0.5625
2023-10-11 03:57:42,0.5625
2023-10-11 04:02:54,0.5625
2023-10-11 04:08:01,0.5625
2023-10-11 04:13:12,0.5625
2023-10-11 04:18:20,0.5625
