Red,Green,Blue,BlueCorr
0.016327,0.017792,0.019867,43.50873
0.028046,0.030151,0.033386,73.11534
0.03598,0.039215,0.04364,95.57159999999999
0.043701,0.047729,0.053284,116.69196
0.058411,0.062622,0.069092,151.31148
0.071808,0.075256,0.082031,179.64789000000002
0.080139,0.084534,0.092407,202.37133
0.10556,0.108887,0.116333,254.76927
0.105072,0.109802,0.11911,260.85089999999997
0.113525,0.118469,0.128113,280.56747
0.206543,0.20343,0.208649,456.94131
0.207855,0.210388,0.216827,474.85112999999996
0.178589,0.174133,0.180359,394.98620999999997
0.004578,0.004349,0.004395,394.98621
0.010071,0.009323,0.009155,822.7755978498295
0.013657,0.012329,0.012634,1135.4393122047786
0.01564,0.014633,0.015472,1390.4952539522187
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.01564,0.01564,0.01564,1405.593702935154
0.015137,0.013733,0.013794,1239.6905075631403
0.011505,0.011185,0.010986,987.3307174197954
0.190582,0.192657,0.198364,987.3307174197954
0.2323,0.22879,0.234344,1166.416434650564
0.11618,0.13205,0.145172,722.5745342363863
0.1026,0.116516,0.128113,637.665605658296
0.098053,0.110596,0.120819,601.3606801029533
0.162567,0.174103,0.17453,868.7001175176789
0.07135,0.080475,0.088684,441.4129446051558
0.062958,0.070465,0.077545,385.9700373168419
0.054504,0.060669,0.066498,330.9850479269502
0.043762,0.048523,0.053345,265.51772055795897
0.036316,0.039368,0.042938,213.71824698317823
0.024445,0.02652,0.029266,145.66766538287052
0.013184,0.014435,0.016205,80.65825591230154
0.015259,0.017395,0.020325,101.1650139720783
0.002808,0.003174,0.004028,20.048840161354562
0.000122,0.000244,0.000366,1.821716856766576
